HeatNo|QualNo|CustID|CustVer|InternalVer|Cr_Final|Ni_Final|Mo_Final|V_Final|W_Final|TotalIngotsWeight|Last_EOP|Cr_Last_EOP|Ni_Last_EOP|Mo_Last_EOP|V_Last_EOP|W_Last_EOP
80539|834|99|2|3|11.35|0.25|0.74|0.92|0.09|45040.0|2.0|9.98|0.28|0.66|0.404|0.08
80578|834|57|3|4|11.34|0.16|0.72|0.93|0.05|44420.0|2.0|10.93|0.18|0.53|0.201|0.03
80580|834|55|2|5|11.59|0.23|0.75|0.96|0.12|47360.0|2.0|11.28|0.25|0.68|0.499|0.1
80591|834|55|2|5|11.45|0.22|0.74|0.94|0.09|47360.0|2.0|0.0|0.0|0.0|0.0|0.0
80592|834|92|1|8|11.76|0.17|0.75|0.95|0.12|49000.0|2.0|10.9|0.18|0.69|0.145|0.11
80601|834|99|2|1|11.34|0.21|0.72|0.78|0.09|50400.0|2.0|10.73|0.23|0.66|0.352|0.06
80602|834|93|2|2|11.35|0.22|0.75|0.66|0.07|49680.0|2.0|11.14|0.25|0.65|0.422|0.04
80603|834|99|2|3|11.33|0.25|0.76|0.94|0.09|45500.0|2.0|11.09|0.27|0.57|0.486|0.06
80604|834|57|3|4|11.3|0.21|0.74|0.92|0.1|45180.0|2.0|11.02|0.23|0.57|0.487|0.07
80610|834|57|3|1|11.45|0.16|0.74|0.77|0.07|48410.0|2.0|10.37|0.14|0.68|0.206|0.02
80634|834|92|1|15|11.6|0.22|0.73|0.81|0.08|49440.0|2.0|10.89|0.24|0.71|0.28|0.04
80635|834|92|1|15|11.74|0.19|0.74|0.84|0.07|48410.0|3.0|11.41|0.19|0.79|0.453|0.04
80650|834|89|1|10|11.68|0.12|0.82|0.83|0.04|44240.0|3.0|10.79|0.12|0.68|0.065|0.01
80653|834|79|2|1|11.65|0.14|0.73|0.92|0.03|42230.0|2.0|12.27|0.14|0.68|0.0488|0.01
80660|834|99|2|2|11.35|0.2|0.75|0.79|0.09|48000.0|2.0|10.57|0.19|0.74|0.292|0.05
80676|834|79|2|1|11.68|0.16|0.74|0.95|0.03|44800.0|3.0|10.93|0.14|0.59|0.0278|0.01
80677|834|79|2|1|11.63|0.15|0.74|0.98|0.03|45320.0|2.0|10.57|0.15|0.68|0.0259|0.01
80697|834|89|2|2|11.75|0.17|0.75|0.87|0.14|49000.0|2.0|12.97|0.18|0.64|0.178|0.1
80702|834|99|2|3|11.31|0.23|0.72|0.91|0.08|47610.0|2.0|10.24|0.23|0.68|0.353|0.05
80715|834|89|2|3|11.78|0.18|0.84|0.85|0.09|48410.0|2.0|11.07|0.18|0.74|0.146|0.06
80717|834|92|1|11|11.62|0.2|0.82|0.92|0.12|47260.0|2.0|10.32|0.19|0.66|0.156|0.11
80729|834|99|2|1|11.34|0.24|0.73|0.76|0.11|50400.0|2.0|10.4|0.25|0.67|0.43|0.09
80732|834|57|3|4|11.39|0.2|0.78|0.95|0.07|45760.0|2.0|10.73|0.2|0.7|0.379|0.02
80747|834|99|2|1|11.43|0.23|0.76|0.78|0.09|50400.0|2.0|10.53|0.25|0.63|0.38|0.07
80748|834|55|2|5|11.32|0.27|0.75|0.92|0.11|47360.0|2.0|10.71|0.31|0.66|0.375|0.08
80757|834|57|3|1|11.41|0.16|0.74|0.76|0.1|49000.0|2.0|11.29|0.17|0.62|0.394|0.09
80758|834|55|2|5|11.5|0.22|0.75|0.95|0.09|44400.0|2.0|10.77|0.22|0.65|0.483|0.06
80762|834|99|2|3|11.27|0.26|0.73|0.92|0.09|49330.0|2.0|10.42|0.29|0.6|0.345|0.07
80770|834|99|2|3|11.38|0.28|0.73|0.92|0.1|47640.0|2.0|10.2|0.3|0.64|0.306|0.08
80784|834|99|2|3|11.36|0.29|0.77|0.96|0.08|49330.0|2.0|10.54|0.3|0.59|0.382|0.06
80817|834|57|3|3|11.3|0.21|0.75|0.79|0.14|46350.0|2.0|10.69|0.22|0.59|0.399|0.13
80823|834|99|2|1|11.37|0.21|0.79|0.77|0.2|49000.0|2.0|11.41|0.23|0.56|0.18|0.22
80824|834|99|2|1|11.33|0.22|0.74|0.75|0.2|49440.0|2.0|10.87|0.23|0.54|0.168|0.2
80833|834|99|2|1|11.36|0.26|0.75|0.79|0.09|50400.0|2.0|10.16|0.27|0.58|0.32|0.05
80834|834|99|2|1|11.32|0.24|0.75|0.75|0.1|47380.0|2.0|0.0|0.0|0.0|0.0|0.0
80845|834|79|2|1|11.68|0.2|0.73|0.91|0.12|50400.0|2.0|10.85|0.22|0.62|0.179|0.08
80846|834|79|2|1|11.64|0.2|0.76|0.97|0.13|47380.0|2.0|11.85|0.21|0.61|0.197|0.11
80864|834|99|2|3|11.3|0.3|0.72|0.93|0.09|44250.0|2.0|9.85|0.3|0.59|0.326|0.05
80869|834|99|2|1|11.35|0.24|0.75|0.74|0.09|49440.0|2.0|10.13|0.26|0.56|0.326|0.06
80870|834|79|2|1|11.7|0.21|0.74|0.94|0.19|48410.0|2.0|11.49|0.21|0.58|0.235|0.17
80871|834|55|2|5|11.38|0.2|0.75|0.94|0.08|47360.0|2.0|10.67|0.19|0.53|0.284|0.04
80880|834|99|2|1|11.45|0.21|0.74|0.77|0.15|48410.0|2.0|11.17|0.22|0.61|0.353|0.12
80881|834|55|2|5|11.45|0.2|0.76|0.93|0.08|46920.0|2.0|10.74|0.21|0.61|0.208|0.05
80901|834|99|2|3|11.39|0.22|0.74|0.92|0.08|45040.0|2.0|10.27|0.25|0.62|0.425|0.05
80913|834|55|2|5|11.44|0.26|0.74|0.95|0.18|46920.0|2.0|10.92|0.28|0.65|0.19|0.16
80925|834|57|3|3|11.48|0.18|0.74|0.78|0.1|45210.0|2.0|11.37|0.18|0.65|0.332|0.07
80926|834|91|2|1|11.58|0.16|0.75|0.96|0.11|44800.0|2.0|10.87|0.16|0.61|0.318|0.07
80927|834|99|2|1|11.39|0.17|0.77|0.76|0.08|48410.0|2.0|10.41|0.17|0.65|0.33|0.05
80940|834|79|2|17|11.65|0.15|0.73|0.92|0.15|50400.0|2.0|10.15|0.13|0.63|0.111|0.16
80941|834|55|2|5|11.48|0.2|0.73|0.94|0.11|47360.0|2.0|10.95|0.19|0.62|0.201|0.06
80943|834|99|2|3|11.21|0.17|0.76|0.93|0.18|49560.0|2.0|10.69|0.17|0.52|0.388|0.17
80952|834|99|2|1|11.31|0.2|0.74|0.75|0.17|53560.0|2.0|0.0|0.0|0.0|0.0|0.0
80971|834|89|2|4|11.77|0.21|0.84|0.85|0.05|49680.0|2.0|11.01|0.23|0.58|0.207|0.02
80975|834|57|3|4|11.36|0.18|0.76|0.96|0.07|48010.0|2.0|10.42|0.18|0.77|0.24|0.04
80982|834|79|2|1|11.91|0.2|0.73|0.94|0.06|50400.0|2.0|12.35|0.21|0.63|0.272|0.04
80983|834|92|1|8|11.79|0.22|0.75|0.95|0.06|49440.0|3.0|11.82|0.22|0.69|0.273|0.03
81017|834|57|3|1|11.5|0.19|0.75|0.78|0.08|54600.0|3.0|10.67|0.2|0.66|0.207|0.05
81018|834|92|1|8|11.69|0.19|0.74|0.98|0.05|49440.0|3.0|11.96|0.2|0.68|0.274|0.01
81027|834|93|2|6|12.33|0.25|0.93|0.65|0.1|47380.0|2.0|12.13|0.25|0.85|0.336|0.05
81058|834|93|2|15|12.25|0.22|0.93|0.67|0.09|49440.0|3.0|11.76|0.23|0.84|0.427|0.07
81067|834|89|2|5|11.63|0.18|0.72|0.92|0.07|49440.0|2.0|11.41|0.18|0.5|0.334|0.05
81073|834|57|3|1|11.53|0.17|0.74|0.75|0.11|47380.0|2.0|10.9|0.16|0.86|0.331|0.07
81074|834|57|3|1|11.46|0.18|0.72|0.74|0.11|47380.0|2.0|11.15|0.18|0.57|0.408|0.07
81075|834|89|2|6|11.65|0.18|0.81|0.91|0.13|49680.0|2.0|10.84|0.18|0.74|0.203|0.1
81088|834|55|2|5|11.36|0.13|0.74|0.92|0.09|47360.0|2.0|10.17|0.13|0.66|0.36|0.1
81107|834|99|2|3|11.29|0.23|0.72|0.94|0.08|44240.0|2.0|10.64|0.24|0.72|0.31|0.04
81108|834|57|3|1|11.51|0.19|0.77|0.78|0.12|49000.0|2.0|11.29|0.19|0.57|0.405|0.08
81110|834|57|3|4|11.48|0.18|0.76|0.94|0.1|48420.0|2.0|10.86|0.19|0.54|0.384|0.08
81117|834|89|2|6|11.62|0.18|0.82|0.91|0.06|46740.0|3.0|11.46|0.18|0.85|0.257|0.01
81120|834|79|2|2|11.83|0.14|0.78|0.94|0.03|43800.0|2.0|10.83|0.14|0.81|0.0696|0.01
81132|834|93|2|2|11.37|0.22|0.75|0.64|0.09|43800.0|2.0|11.14|0.23|0.61|0.278|0.06
81133|834|55|2|5|11.43|0.17|0.72|0.91|0.09|46920.0|2.0|11.18|0.17|0.71|0.318|0.05
81134|834|55|2|1|11.36|0.18|0.76|0.81|0.1|51800.0|3.0|11.08|0.17|0.75|0.366|0.05
81136|834|57|3|4|11.46|0.15|0.75|0.95|0.04|42840.0|2.0|11.35|0.15|0.76|0.206|0.01
81140|834|89|2|3|11.73|0.24|0.84|0.85|0.03|49440.0|2.0|11.64|0.23|1.01|0.135|0.01
81145|834|93|2|1|11.26|0.2|0.73|0.65|0.09|50400.0|3.0|10.72|0.22|0.5|0.244|0.05
81156|834|99|2|1|11.33|0.2|0.75|0.75|0.07|48410.0|2.0|10.66|0.19|0.66|0.305|0.04
81157|834|79|2|13|11.63|0.16|0.77|0.94|0.07|48410.0|2.0|11.43|0.15|0.69|0.382|0.04
81166|834|99|2|3|11.19|0.22|0.75|0.97|0.08|44850.0|2.0|11.11|0.22|0.67|0.366|0.06
